,Strategy_Equity,Benchmark_Equity
2023-08-24,1419875.375,963530.56
2023-08-25,1421455.75,971166.2
2023-08-28,1417186.5,979869.7
2023-08-29,1422203.625,1001868.9
2023-08-30,1415446.625,1006434.2
2023-08-31,1417044.875,1009237.5
2023-09-01,1416844.0,1007582.2
2023-09-05,1408298.75,1008436.56
2023-09-06,1407879.75,1000133.5
2023-09-07,1395849.75,993592.5
2023-09-08,1392391.5,995568.1
2023-09-11,1408761.0,1005473.0
2023-09-12,1412888.25,995835.1
2023-09-13,1411330.5,1000774.25
2023-09-14,1406653.875,1007608.9
2023-09-15,1403916.375,988573.25
2023-09-18,1407803.25,990282.0
2023-09-19,1407546.75,987905.8
2023-09-20,1409985.125,970739.0
2023-09-21,1405133.5,954586.7
2023-09-22,1402908.375,956402.25
2023-09-25,1399104.875,960006.4
2023-09-26,1396614.25,947538.44
2023-09-27,1397475.75,950181.56
2023-09-28,1396455.625,956615.75
2023-09-29,1393517.875,957390.0
2023-10-02,1391532.75,964918.9
2023-10-03,1398227.5,947218.1
2023-10-04,1393023.625,960193.25
2023-10-05,1394852.875,956642.5
2023-10-06,1390727.25,976265.56
2023-10-09,1378148.5,979282.3
2023-10-10,1379157.25,985075.8
2023-10-11,1380826.875,993405.56
2023-10-12,1372110.375,988413.1
2023-10-13,1365702.375,972848.2
2023-10-16,1354347.75,986250.56
2023-10-17,1372082.75,981204.56
2023-10-18,1361996.75,970311.8
2023-10-19,1371497.875,958164.25
2023-10-20,1367070.0,945002.1
2023-10-23,1366777.0,953252.1
2023-10-24,1363359.625,956722.56
2023-10-25,1362328.375,926874.25
2023-10-26,1357209.5,925405.8
2023-10-27,1355465.25,922228.75
2023-10-30,1350816.875,930825.5
2023-10-31,1360288.375,934616.6
2023-11-01,1347925.875,956508.94
2023-11-02,1342108.75,966547.44
2023-11-03,1348892.625,982806.5
2023-11-06,1347741.0,983874.4
2023-11-07,1359582.0,994393.44
2023-11-08,1359720.125,993966.25
2023-11-09,1350187.75,986384.06
2023-11-10,1352384.875,1009397.6
2023-11-13,1358103.875,1008089.56
2023-11-14,1363369.125,1030409.1
2023-11-15,1360531.0,1028513.44
2023-11-16,1356414.5,1030115.4
2023-11-17,1354215.875,1029608.0
2023-11-20,1353010.5,1044158.44
2023-11-21,1348475.5,1035455.0
2023-11-22,1352224.75,1041301.9
2023-11-24,1350315.25,1039139.25
2023-11-27,1349737.875,1038766.6
2023-11-28,1348557.375,1042876.94
2023-11-29,1354423.0,1042156.1
2023-11-30,1353950.5,1036682.94
2023-12-01,1349395.625,1043170.7
2023-12-04,1356183.625,1029501.2
2023-12-05,1350055.0,1037457.25
2023-12-06,1336807.25,1027926.06
2023-12-07,1333784.25,1042022.56
2023-12-08,1333486.75,1047949.56
2023-12-11,1339652.625,1057400.8
2023-12-12,1339558.375,1066344.5
2023-12-13,1341634.75,1083324.4
2023-12-14,1340625.375,1077130.5
2023-12-15,1339455.75,1083057.5
2023-12-18,1338070.5,1085887.4
2023-12-19,1338321.125,1093229.4
2023-12-20,1340298.75,1078572.1
2023-12-21,1341939.875,1087409.2
2023-12-22,1341852.625,1089812.0
2023-12-26,1342088.0,1096993.8
2023-12-27,1342088.0,1099690.4
2023-12-28,1342088.0,1099103.0
2023-12-29,1343224.875,1092108.1
2024-01-02,1343726.875,1074407.4
2024-01-03,1336504.125,1064689.2
2024-01-04,1333948.25,1058788.9
2024-01-05,1328678.625,1059856.9
2024-01-08,1342625.375,1080387.8
2024-01-09,1341498.875,1083671.8
